RUN	com.testingexcellence.simulations.CreateSimulation	createsimulation	1559220230744	 	3.1.2
USER	Cenários de Testes Funcionais Conector IMS	5	START	1559220232463	1559220232463
USER	Cenários de Testes Funcionais Conector IMS	13	START	1559220232544	1559220232544
USER	Cenários de Testes Funcionais Conector IMS	14	START	1559220232545	1559220232545
USER	Cenários de Testes Funcionais Conector IMS	15	START	1559220232547	1559220232547
USER	Cenários de Testes Funcionais Conector IMS	10	START	1559220232465	1559220232465
USER	Cenários de Testes Funcionais Conector IMS	7	START	1559220232463	1559220232463
USER	Cenários de Testes Funcionais Conector IMS	9	START	1559220232465	1559220232465
USER	Cenários de Testes Funcionais Conector IMS	17	START	1559220232552	1559220232552
USER	Cenários de Testes Funcionais Conector IMS	18	START	1559220232553	1559220232553
USER	Cenários de Testes Funcionais Conector IMS	20	START	1559220232553	1559220232553
USER	Cenários de Testes Funcionais Conector IMS	21	START	1559220232554	1559220232554
USER	Cenários de Testes Funcionais Conector IMS	19	START	1559220232553	1559220232553
USER	Cenários de Testes Funcionais Conector IMS	22	START	1559220232554	1559220232554
USER	Cenários de Testes Funcionais Conector IMS	23	START	1559220232555	1559220232555
USER	Cenários de Testes Funcionais Conector IMS	24	START	1559220232555	1559220232555
USER	Cenários de Testes Funcionais Conector IMS	25	START	1559220232555	1559220232555
USER	Cenários de Testes Funcionais Conector IMS	26	START	1559220232556	1559220232556
USER	Cenários de Testes Funcionais Conector IMS	27	START	1559220232556	1559220232556
USER	Cenários de Testes Funcionais Conector IMS	28	START	1559220232556	1559220232556
USER	Cenários de Testes Funcionais Conector IMS	29	START	1559220232556	1559220232556
USER	Cenários de Testes Funcionais Conector IMS	30	START	1559220232557	1559220232557
USER	Cenários de Testes Funcionais Conector IMS	32	START	1559220232557	1559220232557
USER	Cenários de Testes Funcionais Conector IMS	31	START	1559220232557	1559220232557
USER	Cenários de Testes Funcionais Conector IMS	33	START	1559220232557	1559220232557
USER	Cenários de Testes Funcionais Conector IMS	34	START	1559220232558	1559220232558
USER	Cenários de Testes Funcionais Conector IMS	35	START	1559220232558	1559220232558
USER	Cenários de Testes Funcionais Conector IMS	36	START	1559220232558	1559220232558
USER	Cenários de Testes Funcionais Conector IMS	37	START	1559220232558	1559220232558
USER	Cenários de Testes Funcionais Conector IMS	38	START	1559220232558	1559220232558
USER	Cenários de Testes Funcionais Conector IMS	39	START	1559220232559	1559220232559
USER	Cenários de Testes Funcionais Conector IMS	40	START	1559220232559	1559220232559
USER	Cenários de Testes Funcionais Conector IMS	42	START	1559220232559	1559220232559
USER	Cenários de Testes Funcionais Conector IMS	41	START	1559220232559	1559220232559
USER	Cenários de Testes Funcionais Conector IMS	44	START	1559220232560	1559220232560
USER	Cenários de Testes Funcionais Conector IMS	43	START	1559220232560	1559220232560
USER	Cenários de Testes Funcionais Conector IMS	46	START	1559220232561	1559220232561
USER	Cenários de Testes Funcionais Conector IMS	45	START	1559220232561	1559220232561
USER	Cenários de Testes Funcionais Conector IMS	47	START	1559220232562	1559220232562
USER	Cenários de Testes Funcionais Conector IMS	49	START	1559220232562	1559220232562
USER	Cenários de Testes Funcionais Conector IMS	48	START	1559220232562	1559220232562
USER	Cenários de Testes Funcionais Conector IMS	50	START	1559220232562	1559220232562
USER	Cenários de Testes Funcionais Conector IMS	2	START	1559220232459	1559220232459
USER	Cenários de Testes Funcionais Conector IMS	6	START	1559220232463	1559220232463
USER	Cenários de Testes Funcionais Conector IMS	4	START	1559220232463	1559220232463
USER	Cenários de Testes Funcionais Conector IMS	1	START	1559220232456	1559220232456
USER	Cenários de Testes Funcionais Conector IMS	16	START	1559220232549	1559220232549
USER	Cenários de Testes Funcionais Conector IMS	11	START	1559220232465	1559220232465
USER	Cenários de Testes Funcionais Conector IMS	51	START	1559220232563	1559220232563
USER	Cenários de Testes Funcionais Conector IMS	3	START	1559220232456	1559220232456
USER	Cenários de Testes Funcionais Conector IMS	52	START	1559220232563	1559220232563
USER	Cenários de Testes Funcionais Conector IMS	53	START	1559220232563	1559220232563
USER	Cenários de Testes Funcionais Conector IMS	8	START	1559220232464	1559220232464
USER	Cenários de Testes Funcionais Conector IMS	63	START	1559220232578	1559220232578
USER	Cenários de Testes Funcionais Conector IMS	64	START	1559220232578	1559220232578
USER	Cenários de Testes Funcionais Conector IMS	65	START	1559220232578	1559220232578
USER	Cenários de Testes Funcionais Conector IMS	66	START	1559220232579	1559220232579
USER	Cenários de Testes Funcionais Conector IMS	68	START	1559220232579	1559220232579
USER	Cenários de Testes Funcionais Conector IMS	67	START	1559220232579	1559220232579
USER	Cenários de Testes Funcionais Conector IMS	69	START	1559220232580	1559220232580
USER	Cenários de Testes Funcionais Conector IMS	70	START	1559220232581	1559220232581
USER	Cenários de Testes Funcionais Conector IMS	71	START	1559220232582	1559220232582
USER	Cenários de Testes Funcionais Conector IMS	72	START	1559220232583	1559220232583
USER	Cenários de Testes Funcionais Conector IMS	73	START	1559220232585	1559220232585
USER	Cenários de Testes Funcionais Conector IMS	62	START	1559220232574	1559220232574
USER	Cenários de Testes Funcionais Conector IMS	74	START	1559220232586	1559220232586
USER	Cenários de Testes Funcionais Conector IMS	75	START	1559220232587	1559220232587
USER	Cenários de Testes Funcionais Conector IMS	77	START	1559220232588	1559220232588
USER	Cenários de Testes Funcionais Conector IMS	76	START	1559220232587	1559220232587
USER	Cenários de Testes Funcionais Conector IMS	78	START	1559220232588	1559220232588
USER	Cenários de Testes Funcionais Conector IMS	79	START	1559220232589	1559220232589
USER	Cenários de Testes Funcionais Conector IMS	80	START	1559220232589	1559220232589
USER	Cenários de Testes Funcionais Conector IMS	81	START	1559220232590	1559220232590
USER	Cenários de Testes Funcionais Conector IMS	82	START	1559220232590	1559220232590
USER	Cenários de Testes Funcionais Conector IMS	83	START	1559220232591	1559220232591
USER	Cenários de Testes Funcionais Conector IMS	84	START	1559220232591	1559220232591
USER	Cenários de Testes Funcionais Conector IMS	85	START	1559220232592	1559220232592
USER	Cenários de Testes Funcionais Conector IMS	86	START	1559220232592	1559220232592
USER	Cenários de Testes Funcionais Conector IMS	87	START	1559220232592	1559220232592
USER	Cenários de Testes Funcionais Conector IMS	88	START	1559220232593	1559220232593
USER	Cenários de Testes Funcionais Conector IMS	89	START	1559220232593	1559220232593
USER	Cenários de Testes Funcionais Conector IMS	90	START	1559220232593	1559220232593
USER	Cenários de Testes Funcionais Conector IMS	91	START	1559220232594	1559220232594
USER	Cenários de Testes Funcionais Conector IMS	92	START	1559220232594	1559220232594
USER	Cenários de Testes Funcionais Conector IMS	93	START	1559220232595	1559220232595
USER	Cenários de Testes Funcionais Conector IMS	94	START	1559220232595	1559220232595
USER	Cenários de Testes Funcionais Conector IMS	96	START	1559220232596	1559220232596
USER	Cenários de Testes Funcionais Conector IMS	95	START	1559220232596	1559220232596
USER	Cenários de Testes Funcionais Conector IMS	12	START	1559220232470	1559220232470
USER	Cenários de Testes Funcionais Conector IMS	97	START	1559220232597	1559220232597
USER	Cenários de Testes Funcionais Conector IMS	98	START	1559220232597	1559220232597
USER	Cenários de Testes Funcionais Conector IMS	99	START	1559220232598	1559220232598
USER	Cenários de Testes Funcionais Conector X0	102	START	1559220232598	1559220232598
USER	Cenários de Testes Funcionais Conector X0	103	START	1559220232599	1559220232599
USER	Cenários de Testes Funcionais Conector X0	104	START	1559220232600	1559220232600
USER	Cenários de Testes Funcionais Conector X0	105	START	1559220232601	1559220232601
USER	Cenários de Testes Funcionais Conector X0	106	START	1559220232602	1559220232602
USER	Cenários de Testes Funcionais Conector X0	107	START	1559220232603	1559220232603
USER	Cenários de Testes Funcionais Conector X0	108	START	1559220232604	1559220232604
USER	Cenários de Testes Funcionais Conector X0	109	START	1559220232605	1559220232605
USER	Cenários de Testes Funcionais Conector X0	110	START	1559220232606	1559220232606
