RUN	com.testingexcellence.simulations.CreateUserSimulation	createusersimulation	1559216706572	 	3.1.2
USER	Cenários de Testes Funcionais Conector IMS	1	START	1559216708257	1559216708257
USER	Cenários de Testes Funcionais Conector X0	2	START	1559216708266	1559216708266
REQUEST	2		Conector XO HttpCode 200	1559216708317	1559216708458	OK	 
REQUEST	1		Conector IMS HttpCode 200	1559216708314	1559216708458	OK	 
REQUEST	1		Conector IMS HttpCode 200 Redirect 1	1559216708481	1559216708601	OK	 
REQUEST	2		Conector XO HttpCode 200 Redirect 1	1559216708477	1559216708599	OK	 
REQUEST	1		Conector IMS HttpCode 400	1559216708611	1559216708679	OK	 
REQUEST	2		Conector XO HttpCode 400	1559216708611	1559216708680	OK	 
REQUEST	2		Conector XO HttpCode 400 Redirect 1	1559216708681	1559216708788	OK	 
REQUEST	1		Conector IMS HttpCode 400 Redirect 1	1559216708679	1559216708790	OK	 
USER	Cenários de Testes Funcionais Conector X0	2	END	1559216708266	1559216708792
REQUEST	1		Conector IMS HttpCode 500	1559216708791	1559216708842	OK	 
REQUEST	1		Conector IMS HttpCode 500 Redirect 1	1559216708843	1559216708919	OK	 
REQUEST	1		Conector IMS HttpCode 200	1559216708920	1559216708986	OK	 
REQUEST	1		Conector IMS HttpCode 200 Redirect 1	1559216708987	1559216709064	OK	 
USER	Cenários de Testes Funcionais Conector IMS	1	END	1559216708257	1559216709065
